Age,Perplexity,Condition
3 Months,88.97993987882678,Zeroshot
3 Months,191.80811586642287,Zeroshot
3 Months,65.42418495648286,Zeroshot
3 Months,509.5957592970691,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,313.606315734944,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,416.2492886213397,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,53.98389958797353,Zeroshot
3 Months,183.12803038310042,Zeroshot
3 Months,182.6703361325949,Zeroshot
3 Months,123.4587976741959,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,225.28290499449588,Zeroshot
3 Months,53.30371513225261,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,35.43529133353175,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,179.35204478687012,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,32756.299900484202,Zeroshot
3 Months,9405.46276069691,Zeroshot
3 Months,935.3907134229526,Zeroshot
3 Months,446.9786940266455,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,332.69580208164075,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,159.19894824713828,Zeroshot
3 Months,71.28054984511516,Zeroshot
3 Months,4253.499607884966,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,126.8870099092907,Zeroshot
3 Months,88.64457866252957,Zeroshot
3 Months,85.54824341012453,Zeroshot
3 Months,1761.6828089060557,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,315.8345516851602,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,251.93088336401397,Zeroshot
3 Months,133.8298546882514,Zeroshot
3 Months,88.97993987882678,Zeroshot
3 Months,191.80811586642287,Zeroshot
3 Months,56.3414088083515,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,376.336368750697,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,63.653590550000736,Zeroshot
3 Months,56.09251238763349,Zeroshot
3 Months,726.9125288496346,Zeroshot
3 Months,99.7327630971552,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,315.8345516851602,Zeroshot
3 Months,358.6233668381587,Zeroshot
3 Months,53.98389958797353,Zeroshot
3 Months,388.6830628811448,Zeroshot
3 Months,288.763062445202,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,107.664039835486,Zeroshot
3 Months,246.62212889480358,Zeroshot
3 Months,114.66019444042912,Zeroshot
3 Months,24.358087774886066,Zeroshot
3 Months,935.3907134229526,Zeroshot
3 Months,1569.563654650448,Zeroshot
3 Months,1480.1788066189438,Zeroshot
3 Months,313.606315734944,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,53.44411364841042,Zeroshot
3 Months,217.87689605642703,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,50.5533364331714,Zeroshot
3 Months,82.3757127755639,Zeroshot
3 Months,70.71636419710984,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,416.2492886213397,Zeroshot
3 Months,229.35822701392212,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,406.8334053067401,Zeroshot
3 Months,35.43529133353175,Zeroshot
3 Months,12.448002796718846,Zeroshot
3 Months,53.30371513225261,Zeroshot
3 Months,685.6265159975903,Zeroshot
3 Months,33737.0374591764,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,152249.10627343424,Zeroshot
3 Months,71.79786444553373,Zeroshot
3 Months,106.69383308094444,Zeroshot
3 Months,446.9786940266455,Zeroshot
3 Months,230.87367267404682,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,25823.506249327136,Zeroshot
3 Months,56.259206130221685,Zeroshot
3 Months,152.46696889220496,Zeroshot
3 Months,156.0064252511445,Zeroshot
3 Months,183.12803038310042,Zeroshot
3 Months,65.42418495648286,Zeroshot
3 Months,42.172188738985206,Zeroshot
3 Months,117.55135089738519,Zeroshot
3 Months,366655.37680002145,Zeroshot
3 Months,72.52125975882335,Zeroshot
3 Months,466.9548653757304,Zeroshot
3 Months,85.54824341012453,Zeroshot
3 Months,509.5957592970691,Zeroshot
